Action,Element,Parent,Element Type,Weighting,Attribute,Attribute Type,Attribute Value,Filter
,,,,,,,,
Unwind,MIRB1112,ABGCC-068,,,,,,
Unwind,219045,ABGCC-068,,,,,,
Unwind,219047,ABGCC-068,,,,,,
Unwind,219049,ABGCC-068,,,,,,
Unwind,219051,ABGCC-068,,,,,,
Unwind,219053,ABGCC-068,,,,,,
Unwind,MIRB3139,ABGCC-068,,,,,,
Unwind,MI187029,ABGCC-069,,,,,,
Unwind,140262,ABGCC-069,,,,,,
Unwind,146100,ABGCC-069,,,,,,
Unwind,160922,ABGCC-069,,,,,,
Unwind,219092,ABGCC-069,,,,,,
Unwind,534463,ABGCC-069,,,,,,
Unwind,534610,ABGCC-069,,,,,,
Unwind,534679,ABGCC-069,,,,,,
Unwind,MI710015,ABGCC-069,,,,,,
Unwind,MI710018,ABGCC-069,,,,,,
Unwind,MI710027,ABGCC-069,,,,,,
Unwind,MI710041,ABGCC-069,,,,,,
Unwind,MICB2703,ABGCC-069,,,,,,
Unwind,MICB2705,ABGCC-069,,,,,,
Unwind,MICBG001,ABGCC-069,,,,,,
Unwind,140066,ABGCC-070,,,,,,
Unwind,160933,ABGCC-070,,,,,,
Unwind,219063,ABGCC-070,,,,,,
Unwind,219064,ABGCC-070,,,,,,
Unwind,219066,ABGCC-070,,,,,,
Unwind,219093,ABGCC-070,,,,,,
Unwind,MI710044,ABGCC-070,,,,,,
Unwind,MI710045,ABGCC-070,,,,,,
Unwind,MI710046,ABGCC-070,,,,,,
Unwind,MI710048,ABGCC-070,,,,,,
Unwind,MI730027,ABGCC-070,,,,,,
Unwind,MICB5006,ABGCC-070,,,,,,
Unwind,MIRB3134,ABGCC-070,,,,,,
Unwind,MISG1100,ABGCC-070,,,,,,
Unwind,147099,ABGCC-071,,,,,,
Unwind,160924,ABGCC-071,,,,,,
Unwind,219094,ABGCC-071,,,,,,
Unwind,MI710001,ABGCC-071,,,,,,
Unwind,MI710002,ABGCC-071,,,,,,
Unwind,MI710003,ABGCC-071,,,,,,
Unwind,MI710005,ABGCC-071,,,,,,
Unwind,MI730024,ABGCC-071,,,,,,
Unwind,MIRB3099,ABGCC-071,,,,,,
Unwind,MISG1577,ABGCC-071,,,,,,
Unwind,MI724010,ABGCC-071,,,,,,
Unwind,MICB2021,ABGCC-071,,,,,,
Unwind,MICB2208,ABGCC-071,,,,,,
Unwind,076485,ABGCC-071,,,,,,
Unwind,095632,ABGCC-071,,,,,,
Unwind,140621,ABGCC-071,,,,,,
Unwind,731297,ABGCC-071,,,,,,
Unwind,MICB2480,ABGCC-071,,,,,,
Unwind,MICB2780,ABGCC-071,,,,,,
Unwind,MIRB0837,ABGCC-071,,,,,,
Unwind,MIRB4813,ABGCC-071,,,,,,
Unwind,MIRB4819,ABGCC-071,,,,,,
Unwind,MIRB5500,ABGCC-071,,,,,,
Unwind,MIRM4480,ABGCC-071,,,,,,
Unwind,MISG1110,ABGCC-071,,,,,,
Unwind,140033,ABGCC-072,,,,,,
Unwind,160925,ABGCC-072,,,,,,
Unwind,219096,ABGCC-072,,,,,,
Unwind,MI710024,ABGCC-072,,,,,,
Unwind,MI710025,ABGCC-072,,,,,,
Unwind,MI710026,ABGCC-072,,,,,,
Unwind,MI730025,ABGCC-072,,,,,,
Unwind,MIRB3100,ABGCC-072,,,,,,
Unwind,MI508240,ABGCC-072,,,,,,
Unwind,MI730835,ABGCC-072,,,,,,
Unwind,MICB2330,ABGCC-072,,,,,,
Unwind,MICB2370,ABGCC-072,,,,,,
Unwind,070417,ABGCC-072,,,,,,
Unwind,076820,ABGCC-072,,,,,,
Unwind,140623,ABGCC-072,,,,,,
Unwind,MIRA0301,ABGCC-072,,,,,,
Unwind,MIRB2455,ABGCC-072,,,,,,
Unwind,MIRB3056,ABGCC-072,,,,,,
Unwind,MIRC3924,ABGCC-072,,,,,,
