Trade Date,Order Type,Code,Units,Average Price ($),Brokerage (inc GST.),Dividend Per Share,Dividend Total,Net Proceeds ($),Status,Grouped,Month
18/03/2020,B,A200,175,85.84,19.95,,,"-15,041.95",Confirmed,1/04/2020,2020-04
27/03/2020,B,A200,170,88.1,19.95,,,"-14,996.95",Confirmed,1/04/2020,2020-04
30/03/2020,B,A200,178,83.62,19.95,,,"-14,904.31",Confirmed,1/04/2020,2020-04
1/04/2020,S,A200,-262,87.9,25.33,,,"23,004.47",Confirmed,1/04/2020,2020-04
1/04/2020,S,A200,-261,86.72,24.89,,,"22,609.03",Confirmed,1/04/2020,2020-04
3/04/2020,B,A200,234,85.42,21.99,,,"-20,010.27",Confirmed,22/05/2020,2020-05
7/04/2020,B,A200,111,90.2,19.95,,,"-10,032.15",Confirmed,22/05/2020,2020-05
7/04/2020,S,A200,-111,88.4,19.95,,,"9,792.45",Confirmed,22/05/2020,2020-05
16/04/2020,S,A200,-140,90.107,19.95,,,"12,595.03",Confirmed,22/05/2020,2020-05
21/04/2020,B,A200,140,87.94,19.95,,,"-12,331.55",Confirmed,22/05/2020,2020-05
22/05/2020,S,A200,-234,92.46,23.8,,,"21,611.84",Confirmed,22/05/2020,2020-05
25/03/2020,B,AGL,270,15.54,19.95,,,"-4,215.75",Confirmed,27/03/2020,2020-03
27/03/2020,S,AGL,-270,16.01,19.95,,,"4,302.75",Confirmed,27/03/2020,2020-03
27/02/2020,B,ANN,166,30.07,19.95,,,"-5,011.57",Confirmed,30/03/2020,2020-03
9/03/2020,B,ANN,178,27.36,19.95,,,"-4,890.03",Confirmed,30/03/2020,2020-03
30/03/2020,S,ANN,-344,28.5,19.95,,,"9,784.05",Confirmed,30/03/2020,2020-03
14/11/2019,B,ANZ,197,25.32,12.5,,,"-5,000.54",Confirmed,25/02/2020,2020-02
25/02/2020,S,ANZ,-197,26.31,19.95,,,"5,163.12",Confirmed,25/02/2020,2020-02
12/02/2020,B,AVH,6097,0.82,19.95,,,"-5,019.49",Confirmed,21/02/2020,2020-02
